No.,(m-M),err(m-M),D(Mpc),Method,Refcode,Notes,SN Name,Redshift,H0,LMCModulus
13,29.16,0.09,6.790,Cepheids,2001ApJ...553..562N,"GClstr MESSIER 101 GROUP BCG 1 of 1, 29, VI",,,,
14,29.17,0.01,6.810,Cepheids,2015MNRAS.449.1171N,"GClstr MESSIER 101 GROUP BCG 1 of 1, R(V) = 1.1450, Z corr. = -0.23 mag/dex",,,,18.50
15,29.17,0.03,6.830,Cepheids,2015MNRAS.449.1171N,"GClstr MESSIER 101 GROUP BCG 1 of 1, R(V) = 1.2899, Z any",,,,18.50
16,29.18,0.08,6.850,Cepheids,2006ApJS..165..108S,"GClstr MESSIER 101 GROUP BCG 1 of 1, LMC ZP",,,,18.54
17,29.20,0.08,6.910,Cepheids,2001ApJ...548..564W,"GClstr MESSIER 101 GROUP BCG 1 of 1, LMC W01",,,,
18,29.20,0.03,6.910,Cepheids,2015MNRAS.449.1171N,"GClstr MESSIER 101 GROUP BCG 1 of 1, R(V) = 1.1450, Z any",,,,18.50
19,29.20,0.07,6.920,Cepheids,1998ApJ...498..181K,"GClstr MESSIER 101 GROUP BCG 1 of 1, 50, VI, inner field",,,,
20,29.21,0.09,6.950,Cepheids,1998ApJ...498..181K,"GClstr MESSIER 101 GROUP BCG 1 of 1, 30, VI, inner field, log P > 1.2 days",,,,
21,29.21,0.17,6.950,Cepheids,1998ApJ...508..491S,"GClstr MESSIER 101 GROUP BCG 1 of 1, 61, VI",,,,
22,29.23,0.07,7.010,Cepheids,2002A&A...389...19P,"GClstr MESSIER 101 GROUP BCG 1 of 1, MW HIPP",,,,
23,29.24,0.08,7.050,Cepheids,2004ApJ...608...42S,"GClstr MESSIER 101 GROUP BCG 1 of 1, LMC VIHJK",,,,
24,29.26,0.15,7.110,Cepheids,2002A&A...389...19P,"GClstr MESSIER 101 GROUP BCG 1 of 1, MW P02",,,,
25,29.27,,7.140,Cepheids,1987SAAOC..11..125W,"GClstr MESSIER 101 GROUP BCG 1 of 1, 2, R, Photographic",,,,18.47
26,29.30,,7.240,Cepheids,1986ApJ...301L..45C,"GClstr MESSIER 101 GROUP BCG 1 of 1, 2, R, for LMC m-M = 18.50",,,,
27,29.30,0.07,7.240,Cepheids,2002A&A...383..398P,"GClstr MESSIER 101 GROUP BCG 1 of 1, 102, VI",,,,
28,29.30,0.07,7.240,Cepheids,2002A&A...389...19P,"GClstr MESSIER 101 GROUP BCG 1 of 1, MW GFG",,,,
29,29.34,0.10,7.380,Cepheids,1996ApJ...463...26K,"GClstr MESSIER 101 GROUP BCG 1 of 1, 61, VI",,,,
30,29.34,0.08,7.380,Cepheids,1998ApJ...498..181K,"GClstr MESSIER 101 GROUP BCG 1 of 1, 24, VI, outer field, log P > 1.2 days",,,,
