JD;mag;uncert;band;by;comCode;compStar1;compStar2;charts;comment;transformed;airmass;val;cmag;kmag;starName;obsAffil;mtype;adsRef;digitizer;credit;obsID;fainterThan;obsType;software;obsName;obsCountry
2460111.87793;11.636;0.005;V;SJJB;;ENSEMBLE;117;X28721BAT;M101_SN 2023IXF_VPHOT_JJSANBORN|CMAGINS=-6.756|CREFMAG=12.297|ENSTYPE=1|KMAG=11.703|KMAGINS=-7.350|KREFERR=0.040|KREFMAG=11.735|VMAGINS=-7.418;0;1.765;Z;;11.703;SN 2023IXF;AAVSO;STD;;;;1299248097;0;CCD;VPHOT 4.0.34;Sanborn, Jason;US
2460111.88039;11.325;0.004;R;SJJB;;ENSEMBLE;117;X28721BCB;M101_SN2023IXF_RPHOT_JJSANBORN|CMAGINS=-6.706|CREFMAG=12.358|ENSTYPE=1|KMAG=11.351|KMAGINS=-7.713|KREFERR=0.048|KREFMAG=11.359|VMAGINS=-7.739;0;1.788;Z;;11.351;SN 2023IXF;AAVSO;STD;;;;1299248113;0;CCD;VPHOT 4.0.34;Sanborn, Jason;US
2460111.88354;12.036;0.007;B;SJJB;;ENSEMBLE;117;X28721AZE;M101_SN2023IXF_BPHOT_JJSANBORN|CMAGINS=-5.792|CREFMAG=12.383|ENSTYPE=1|KMAG=12.287|KMAGINS=-5.887|KREFERR=0.057|KREFMAG=12.268|VMAGINS=-6.138;0;1.818;Z;;12.287;SN 2023IXF;AAVSO;STD;;;;1299248077;0;CCD;VPHOT 4.0.34;Sanborn, Jason;US
2460111.88865;11.635;0.005;V;SJJB;;ENSEMBLE;117;X28721BAT;M101_SN 2023IXF_VPHOT_JJSANBORN|CMAGINS=-6.853|CREFMAG=12.297|ENSTYPE=1|KMAG=11.759|KMAGINS=-7.391|KREFERR=0.040|KREFMAG=11.735|VMAGINS=-7.515;0;1.870;Z;;11.759;SN 2023IXF;AAVSO;STD;;;;1299248098;0;CCD;VPHOT 4.0.34;Sanborn, Jason;US
2460111.89425;12.026;0.013;B;SJJB;;ENSEMBLE;117;X28721AZE;M101_SN2023IXF_BPHOT_JJSANBORN|CMAGINS=-4.904|CREFMAG=12.383|ENSTYPE=1|KMAG=12.329|KMAGINS=-4.957|KREFERR=0.057|KREFMAG=12.268|VMAGINS=-5.260;0;1.931;Z;;12.329;SN 2023IXF;AAVSO;STD;;;;1299248078;0;CCD;VPHOT 4.0.34;Sanborn, Jason;US
2460111.90083;11.304;0.005;R;SJJB;;ENSEMBLE;117;X28721BCB;M101_SN2023IXF_RPHOT_JJSANBORN|CMAGINS=-6.330|CREFMAG=12.358|ENSTYPE=1|KMAG=11.326|KMAGINS=-7.362|KREFERR=0.048|KREFMAG=11.359|VMAGINS=-7.384;0;2.008;Z;;11.326;SN 2023IXF;AAVSO;STD;;;;1299248114;0;CCD;VPHOT 4.0.34;Sanborn, Jason;US
2460111.90397;12.035;0.008;B;SJJB;;ENSEMBLE;117;X28721AZE;M101_SN2023IXF_BPHOT_JJSANBORN|CMAGINS=-5.526|CREFMAG=12.383|ENSTYPE=1|KMAG=12.284|KMAGINS=-5.625|KREFERR=0.057|KREFMAG=12.268|VMAGINS=-5.873;0;2.047;Z;;12.284;SN 2023IXF;AAVSO;STD;;;;1299248079;0;CCD;VPHOT 4.0.34;Sanborn, Jason;US
2460111.90927;11.622;0.004;V;SJJB;;ENSEMBLE;117;X28721BAT;M101_SN 2023IXF_VPHOT_JJSANBORN|CMAGINS=-7.098|CREFMAG=12.297|ENSTYPE=1|KMAG=11.724|KMAGINS=-7.671|KREFERR=0.040|KREFMAG=11.735|VMAGINS=-7.773;0;2.116;Z;;11.724;SN 2023IXF;AAVSO;STD;;;;1299248099;0;CCD;VPHOT 4.0.34;Sanborn, Jason;US
2460111.91171;11.309;0.005;R;SJJB;;ENSEMBLE;117;X28721BCB;M101_SN2023IXF_RPHOT_JJSANBORN|CMAGINS=-6.483|CREFMAG=12.358|ENSTYPE=1|KMAG=11.340|KMAGINS=-7.501|KREFERR=0.048|KREFMAG=11.359|VMAGINS=-7.532;0;2.150;Z;;11.340;SN 2023IXF;AAVSO;STD;;;;1299248115;0;CCD;VPHOT 4.0.34;Sanborn, Jason;US
2460112.35417;11.8;;Vis.;SAQ;;117;119;X28720GU;Tivoli, Namibia;;;Z;;;SN 2023ixf;KNVWS;;;;;1299250373;0;Visual;;Scholten, Alex;NL
2460112.36339;11.582;0.004;V;TRT;;ENSEMBLE;128;X28720CB;;0;1.036;Z;;12.695;SN 2023IXF;MCSE;STD;;;;1299243256;0;CCD;NOAO/IRAF V2.16.1;Tordai, Tamás;HU
2460112.366934;11.055;0.039;I;VYP;;ENSEMBLE;117;X28721BWF;;0;1.008;Z;;10.924;SN 2023IXF;VVS;STD;;;;1299248001;0;CCD;ASTROPIE RC 2023_16 - USING ASTROPY (PYTHON MODULE);Vuylsteke, Pieter;BE
2460112.367661;11.162;0.039;I;VYP;;ENSEMBLE;117;X28721BWF;;0;1.009;Z;;10.981;SN 2023IXF;VVS;STD;;;;1299248002;0;CCD;ASTROPIE RC 2023_16 - USING ASTROPY (PYTHON MODULE);Vuylsteke, Pieter;BE
2460112.368414;11.279;0.017;R;VYP;;ENSEMBLE;117;X28721BWF;;0;1.009;Z;;11.325;SN 2023IXF;VVS;STD;;;;1299248003;0;CCD;ASTROPIE RC 2023_16 - USING ASTROPY (PYTHON MODULE);Vuylsteke, Pieter;BE
